text,intent
do you work on lifted trucks,ask_vehicle_support
rough cost for ceramic coating on a sedan?,request_quote
"Just calling to ask, when do you close",ask_hours
Quick question — I need this done before tomorrow,urgent_detail_request
"Hi, I want to take the swirls out before coating",ask_paint_correction
rough cost for ceramic coating on a sedan please,request_quote
what's the difference between coating and wax,ask_ceramic_coating
"where are you located, by the way",ask_location
"I was wondering, can you give me directions",ask_location
"I was wondering, what areas do you cover",ask_service_area
Can you tell me can you polish my car,ask_paint_correction
how do I find your shop?,ask_location
Can you tell me can you give me an estimate for paint correction,request_quote
"I need this done before tomorrow, by the way",urgent_detail_request
Quick question — can you fix oxidation,ask_paint_correction
Quick question — there's a swirl mark you missed,complaint_or_issue
can I book for Saturday,book_appointment
Quick question — what services do you offer,ask_services
"Hi, do you do paint correction",ask_paint_correction
"Hi, do you work on Porsches",ask_vehicle_support
does ceramic coating prevent scratches?,ask_ceramic_coating
"Just calling to ask, have somebody call me",callback_request
"is detailing expensive, by the way",ask_pricing
hi there,greeting
"Just calling to ask, can you come to my apartment",ask_mobile_service
what do you guys do please,ask_services
Can you tell me the interior still smells,complaint_or_issue
Can you tell me there's a scratch that wasn't there before,complaint_or_issue
Can you tell me there's a swirl mark you missed,complaint_or_issue
do you work on lifted trucks,ask_vehicle_support
do you service Costa Mesa,ask_service_area
Can you tell me what kind of detailing do you offer,ask_services
"I was wondering, can you remove swirl marks",ask_paint_correction
Can you tell me can I set up an appointment,book_appointment
"I was wondering, what's your address",ask_location
Can you tell me what time do you close on Friday,ask_hours
I'm not happy with the result?,complaint_or_issue
what part of town are you in,ask_location
can you detail a minivan please,ask_vehicle_support
"Hey, do you do EVs",ask_vehicle_support
how long does a ceramic coating take?,ask_ceramic_coating
do you do EVs?,ask_vehicle_support
do you offer graphene coatings,ask_ceramic_coating
can you call me back?,callback_request
"Just calling to ask, can someone ring me back",callback_request
Can you tell me can you fit me in today,urgent_detail_request
Quick question — do you accept credit cards,general_question
"hey, how's it going",greeting
I'd like a callback,callback_request
"what's up, by the way",greeting
"Hi, do you service Irvine",ask_mobile_service
"Just calling to ask, is detailing expensive",ask_pricing
do you work on lifted trucks?,ask_vehicle_support
can you polish my car?,ask_paint_correction
Quick question — I need it detailed today,urgent_detail_request
"can you buff out scratches, by the way",ask_paint_correction
are you open today please,ask_hours
"Hi, hey, how's it going",greeting
do you offer subscriptions,general_question
"Hey, what do you charge for ceramic coating",request_quote
Quick question — have somebody call me,callback_request
"Hey, ballpark price for a maintenance wash",request_quote
do you accept credit cards please,general_question
there's a scratch that wasn't there before please,complaint_or_issue
"any chance you can come out tonight, by the way",urgent_detail_request
can you polish my car,ask_paint_correction
there's a swirl mark you missed,complaint_or_issue
Can you tell me I'd like a callback,callback_request
do you have a slot Sunday,book_appointment
"Hi, are you available Friday",book_appointment
Quick question — what time do you open on Saturday,ask_hours
"Hey, can you remove swirl marks",ask_paint_correction
Quick question — do you work on Porsches,ask_vehicle_support
"do you sell gift cards, by the way",general_question
Quick question — what are your prices,ask_pricing
where are you located,ask_location
"Just calling to ask, hey",greeting
does ceramic coating prevent scratches?,ask_ceramic_coating
are you open on Sundays,ask_hours
"I was wondering, is there a warranty on the coating",general_question
Quick question — what time can I bring my car in,book_appointment
"I was wondering, can you fit me in today",urgent_detail_request
are you available Friday,book_appointment
"Can you tell me thanks, that's all",goodbye
"Hi, do you accept credit cards",general_question
"I was wondering, I'd want you to come to my place",ask_mobile_service
what cities do you cover please,ask_service_area
"Hi, what are your prices",ask_pricing
do you come to Anaheim,ask_service_area
"have somebody call me, by the way",callback_request
bye,goodbye
do you service Irvine,ask_mobile_service
Quick question — do you come to me,ask_mobile_service
"Just calling to ask, goodbye, see you",goodbye
"Can you tell me thank you, have a good one",goodbye
"Hey, can you detail an exotic",ask_vehicle_support
Can you tell me does ceramic coating prevent scratches,ask_ceramic_coating
"I was wondering, give me a call later",callback_request
do you offer subscriptions please,general_question
do you detail Teslas?,ask_vehicle_support
Quick question — ballpark price for a maintenance wash,request_quote
"thank you, have a good one",goodbye
"Just calling to ask, I need a detail ASAP",urgent_detail_request
hey,greeting
"Just calling to ask, do you offer engine bay cleaning",ask_services
"Hi, do you sell gift cards",general_question
what's the cost of an interior detail,ask_pricing
what areas do you cover?,ask_service_area
"Hi, what are your prices",ask_pricing
"do you have anything tomorrow morning, by the way",book_appointment
"goodbye, see you",goodbye
"Hi, have somebody call me",callback_request
do you do mobile detailing please,ask_mobile_service
"any chance you can come out tonight, by the way",urgent_detail_request
what would it cost for interior and exterior,request_quote
do you detail Teslas please,ask_vehicle_support
"Hi, goodbye, see you",goodbye
"Hi, any chance you can come out tonight",urgent_detail_request
Quick question — do you accept credit cards,general_question
"appreciate it, talk later",goodbye
do you have a referral program,general_question
"I was wondering, can someone ring me back",callback_request
Can you tell me can you give me an estimate for paint correction,request_quote
"Hi, are you available Friday",book_appointment
how much for a maintenance wash please,ask_pricing
hello,greeting
"I was wondering, what time do you close on Friday",ask_hours
"Just calling to ask, hi there",greeting
can you detail a minivan?,ask_vehicle_support
"Just calling to ask, appreciate it, talk later",goodbye
hello?,greeting
"Hi, any openings this week",book_appointment
do you sell gift cards please,general_question
"I was wondering, can you come to my apartment",ask_mobile_service
are you mobile,ask_mobile_service
can you give me an estimate for paint correction please,request_quote
"Just calling to ask, can you give me directions",ask_location
"can you give me directions, by the way",ask_location
any chance you can come out tonight,urgent_detail_request
"Just calling to ask, my black car has scratches",ask_paint_correction
Can you tell me are you mobile,ask_mobile_service
rough cost for ceramic coating on a sedan please,request_quote
"I was wondering, can I book for Saturday",book_appointment
"goodbye, see you please",goodbye
Can you tell me how do I find your shop,ask_location
what cities do you cover?,ask_service_area
"Hi, when do you close",ask_hours
"bye, by the way",goodbye
"Just calling to ask, thanks, that's all",goodbye
"Hey, hello",greeting
can you polish my car please,ask_paint_correction
"Just calling to ask, can you detail a minivan",ask_vehicle_support
do you service Newport Beach,ask_service_area
"Just calling to ask, what areas do you cover",ask_service_area
"Hi, have somebody call me",callback_request
is detailing expensive,ask_pricing
Can you tell me do you do detailing on trucks,ask_services
Can you tell me what time do you close on Friday,ask_hours
Quick question — I'm not happy with the result,complaint_or_issue
"I was wondering, I need it detailed today",urgent_detail_request
give me a call later?,callback_request
"I was wondering, I need it detailed today",urgent_detail_request
bye,goodbye
Quick question — what part of town are you in,ask_location
"Hey, what's your price range",ask_pricing
Can you tell me do you accept credit cards,general_question
do you come to Anaheim,ask_service_area
Quick question — can you fix oxidation,ask_paint_correction
"Hey, hey",greeting
Quick question — can you call me back,callback_request
"I was wondering, I'd like a callback",callback_request
"Hey, have somebody call me",callback_request
do you service Costa Mesa please,ask_service_area
do you accept credit cards,general_question
does ceramic coating prevent scratches?,ask_ceramic_coating
"Hey, can you come to my apartment",ask_mobile_service
"Just calling to ask, do you come to Anaheim",ask_service_area
"I need a detail ASAP, by the way",urgent_detail_request
Can you tell me do you do mobile detailing,ask_mobile_service
"can I get a quote for my BMW, by the way",request_quote
Can you tell me rough cost for ceramic coating on a sedan,request_quote
can you give me an estimate for paint correction?,request_quote
can I book for Saturday?,book_appointment
"Quick question — thanks, that's all",goodbye
Can you tell me how much to detail a Tesla Model 3,request_quote
how much is just an exterior detail please,ask_pricing
"I was wondering, do you work on lifted trucks",ask_vehicle_support
how much for a maintenance wash,ask_pricing
have somebody call me?,callback_request
"Hi, do you go out to Huntington Beach",ask_service_area
"do you do EVs, by the way",ask_vehicle_support
"Just calling to ask, what are your hours",ask_hours
"Just calling to ask, what's the cost of an interior detail",ask_pricing
"I was wondering, can you call me back",callback_request
Can you tell me are you open today,ask_hours
"I've got a lot of water spots, can you fix that please",ask_paint_correction
"ballpark price for a maintenance wash, by the way",request_quote
"Hi, how much for a full detail",request_quote
Can you tell me where are you located,ask_location
do you do interior and exterior,ask_services
"I was wondering, what's up",greeting
"there's a scratch that wasn't there before, by the way",complaint_or_issue
"Just calling to ask, is there a warranty on the coating",general_question
do you work on lifted trucks?,ask_vehicle_support
what kind of detailing do you offer,ask_services
"Hi, do you accept credit cards",general_question
"Just calling to ask, are you available Friday",book_appointment
what's your price range?,ask_pricing
"Just calling to ask, hello",greeting
"Hey, good afternoon",greeting
"Hey, do you have a slot Sunday",book_appointment
"Just calling to ask, appreciate it, talk later",goodbye
are you open on Sundays,ask_hours
are you open on Sundays,ask_hours
is there a warranty on the coating please,general_question
"hi there, by the way",greeting
Quick question — how do I find your shop,ask_location
Quick question — do you come to me,ask_mobile_service
"Hi, can I get a refund",complaint_or_issue
are you available Friday,book_appointment
"I was wondering, do you guys travel out to Newport",ask_mobile_service
do you have a referral program,general_question
"do you sell gift cards, by the way",general_question
can I get a quote for my BMW?,request_quote
"Hey, hey, how's it going",greeting
what cities do you cover,ask_service_area
"Hi, do you accept credit cards",general_question
"I was wondering, what cities do you cover",ask_service_area
"Just calling to ask, when do you close",ask_hours
how much to detail a Tesla Model 3,request_quote
Can you tell me can you detail a minivan,ask_vehicle_support
